V II  2683.8870000 0.109000 2.860E+08
V II  2141.7670000 0.008050 3.900E+06
V II  2138.8270000 0.082000 4.000E+07
V II  1106.5710000 0.123000 2.240E+08
V II  1106.4490000 0.023900 4.340E+07
V II  1104.3320000 0.003560 6.500E+06
CrII  2066.1638190 0.051200 4.170E+08
CrII  2062.2358730 0.075900 4.060E+08
CrII  2056.2567280 0.103000 4.070E+08
MnII  2606.4587700 0.198000 2.720E+08
MnII  2594.4964300 0.280000 2.780E+08
MnII  2576.8751200 0.361000 2.820E+08
MnII  1201.1180000 0.121000 7.850E+08
MnII  1199.3910000 0.169000 7.850E+08
MnII  1197.1840000 0.217000 7.840E+08
MnII  1162.0150000 0.010200 3.900E+07
FeI   3720.9928000 0.041100 1.630E+07
FeI   3021.5187000 0.104000 1.690E+08
FeI   2967.7646000 0.043800 1.270E+08
FeI   2719.8329000 0.122000 1.750E+08
FeI   2523.6083000 0.203000 3.850E+08
FeI   2501.8858000 0.049300 3.850E+08
FeI   2484.0209000 0.544000 5.000E+08
FeI   2463.3922000 0.053200 5.000E+08
FeI   2298.8769000 0.024500 1.350E+08
FeI   2167.4534000 0.150000 2.740E+08
FeI   2132.6900000 0.005200 6.000E+08
FeI   2084.7850000 0.018900 6.000E+08
FeI   1937.2680000 0.009450 2.161E+07
FeI   1934.5351000 0.011100 2.550E+07
FeI   1875.1580000 0.008740 1.659E+07
FeI   1851.6900000 0.022200 5.558E+07
FeII  2600.1721140 0.239000 2.700E+08
FeII  2586.6493120 0.069100 2.720E+08
FeII  2382.7639950 0.320000 3.130E+08
FeII  2374.4600640 0.031300 3.090E+08
FeII  2367.5892400 0.000022 3.070E+08
FeII  2344.2127470 0.114000 2.680E+08
FeII  2260.7791080 0.002440 2.580E+08
FeII  2234.4472000 0.000025 2.750E+08
FeII  2249.8754720 0.001820 3.310E+08
FeII  1901.7730000 0.000070 1.610E+05
FeII  1611.2003690 0.001380 2.860E+08
FeII  1608.4508520 0.057700 2.740E+08
FeII  1588.6876000 0.000148 4.890E+05
FeII  1260.5330000 0.024000 1.260E+08
FeII  1144.9379000 0.083000 3.520E+08
FeII  1143.2260000 0.019200 9.810E+07
FeII  1142.3656000 0.004010 2.560E+07
FeII  1133.6654000 0.004720 3.060E+07
FeII  1127.0984000 0.001120 5.890E+06
FeII  1125.4477000 0.015600 1.030E+08
FeII  1121.9748000 0.029000 1.920E+08
FeII  1112.0480000 0.004460 2.000E+07
FeII  1106.3596000 0.000394 2.150E+06
FeII  1096.8769000 0.032700 2.260E+08
FeII  1083.4204000 0.002800 2.000E+08
FeII  1081.8748000 0.012600 2.000E+08
FeII  1063.9718000 0.004750 3.500E+07
FeII  1063.1764000 0.054700 3.230E+08
FeII  1062.1517000 0.002910 1.720E+07
FeII  1055.2617000 0.006150 4.610E+07
FeIII 1214.5620000 0.000239 1.390E+06
FeIII 1122.5240000 0.054400 3.700E+08
CoII  2059.4756000 0.007510 2.780E+08
CoII  2026.4122000 0.012500 3.030E+08
CoII  2012.1664000 0.036800 3.450E+08
CoII  1941.2852000 0.034000 4.350E+08
CoII  1574.5508000 0.025000 6.730E+07
CoII  1572.6489000 0.012000 4.160E+07
CoII  1552.7624000 0.011600 3.210E+07
CoII  1480.9546000 0.011900 4.650E+07
CoII  1466.2110000 0.031000 3.780E+07
CoII  1424.7866000 0.010900 3.580E+07
NiI   2320.7468000 0.685000 6.940E+08
NiI   2311.6690000 0.376500 4.700E+08
NiII  1751.9154900 0.027700 3.700E+08
NiII  1741.5528900 0.042700 5.000E+08
NiII  1709.6040200 0.032400 4.350E+08
NiII  1703.4119000 0.012240 5.000E+08
NiII  1502.1480000 0.006000 3.932E+07
NiII  1467.7560000 0.009900 2.300E+07
NiII  1467.2590000 0.006300 2.930E+07
NiII  1454.8420000 0.032300 1.020E+08
NiII  1393.3240000 0.022220 3.470E+07
NiII  1370.1320000 0.076900 4.100E+08
NiII  1317.2170000 0.146000 4.205E+08
CuII  1367.9509000 0.179000 6.230E+08
CuII  1358.7730000 0.263000 7.200E+08
ZnI   2138.5735000 1.470000 7.140E+08
ZnII  2062.6602910 0.246000 3.860E+08
ZnII  2026.1369460 0.501000 4.070E+08
GaII  1414.4020000 1.770000 1.970E+09
GeII  1602.4863000 0.144000 1.060E+09
GeII  1237.0591000 1.230000 2.680E+09
GeII  1164.2720000 0.280000 1.380E+09
AsII  1263.7700000 0.259000 3.610E+08
AsII  1207.4490000 0.023400 3.560E+07
AsII  1181.5380000 0.030900 4.920E+07
SeI   1530.4570000 0.260000 5.280E+08
SeI   1405.3820000 0.105000 2.540E+08
SeI   1353.8990000 0.050300 1.310E+08
SeII  1049.6480000 0.082300 9.960E+08
SeII  1033.5560000 0.165000 1.030E+09
SeII  1013.4340000 0.263000 1.140E+09
BrI   1540.6610000 0.077100 2.390E+08
BrI   1488.4590000 0.066900 2.220E+08
KrI   1235.8380000 0.204000 2.980E+08
KrI   1164.8672000 0.188000 3.090E+08
SrI   4608.6170000 2.010000 2.100E+08
SrI   2570.2380000 0.016600 2.210E+08
SrI   2428.8280000 0.046800 1.830E+08
SrI   2355.0290000 0.047900 1.920E+07
SrI   2307.9740000 0.028800 1.200E+07
SrII  4216.7070000 0.334000 1.350E+08
SrII  4078.8610000 0.701000 1.500E+08
SrII  1793.0880000 0.005600 1.000E+08
SrII  1783.8700000 0.000690 1.000E+08
Y II  3112.9320000 0.006540 3.480E+08
ZrII  3573.4879000 0.167000 1.000E+08
ZrII  3389.2675000 0.065000 1.000E+08
ZrII  3358.2263000 0.046000 1.000E+08
ZrII  3273.1651000 0.050000 1.000E+08
ZrII  3285.6581000 0.083000 1.000E+08
ZrII  3209.2401000 0.010000 1.000E+08
ZrII  2762.6930000 0.010000 1.000E+08
ZrII  2759.6070000 0.091000 1.000E+08
ZrII  2743.3490000 0.204000 1.000E+08
ZrII  2712.3060000 0.049000 1.000E+08
ZrII  2568.4240000 0.135000 1.000E+08
ZrII  2551.5180000 0.050000 1.000E+08
ZrIII 1798.0480000 0.178000 6.130E+08
NbII  2866.4520000 0.060300 1.750E+08
NbII  2668.0880000 0.095500 3.230E+08
RuII  1888.0430000 0.029300 2.560E+08
PdII  1403.5520000 0.032800 8.340E+07
PdII  1367.7000000 0.071200 2.540E+08
PdII  1374.8430000 0.036000 1.270E+08
PdII  1320.0180000 0.122000 4.680E+08
PdII  1235.1910000 0.040000 2.620E+08
PdII  1218.6180000 0.058500 2.630E+08
PdII  1203.9600000 0.132000 4.540E+08
AgII  1195.8830000 0.036900 3.450E+08
AgII  1112.4830000 0.429000 1.200E+09
AgII  1107.0720000 0.382000 1.090E+09
CdII  2265.7152000 0.247000 3.210E+08
CdII  2145.0697000 0.498000 3.610E+08
SnII  1400.4500000 1.090000 1.000E+08
HgII  1649.9470000 0.830000 1.000E+08
PbII  1433.9050000 0.870000 1.000E+08
C3I   1656.9320000 0.149000 3.600E+08
C3I   1560.2920000 0.077400 1.780E+08
C3I   1328.8260000 0.075800 2.870E+08
C3I*  1657.9160000 0.049400 3.600E+08
C3I*  1657.3830000 0.037100 3.600E+08
C3I*  1656.2720000 0.062100 3.600E+08
C3I*  1560.6920000 0.019300 1.270E+08
C3I*  1560.6640000 0.058100 1.270E+08
C3I*  1329.1160000 0.019100 2.870E+08
C3I*  1329.0930000 0.031300 2.870E+08
C3I*  1329.0790000 0.025400 2.870E+08
C3I** 1658.1250000 0.037100 3.600E+08
C3I** 1657.0120000 0.111000 3.600E+08
C3I** 1561.4240000 0.064900 1.270E+08
C3I** 1561.3500000 0.000772 1.270E+08
C3I** 1561.3220000 0.011600 1.270E+08
C3I** 1329.5930000 0.018900 2.870E+08
C3I** 1329.5710000 0.056900 2.870E+08
MgIa  2852.9634198 1.830000 5.000E+08
MgIb  2852.9614069 1.830000 5.000E+08
MgIc  2852.9595910 1.830000 5.000E+08
MgIIa 2796.3553000 0.615500 2.625E+08
MgIIa 2803.5324000 0.305800 2.595E+08
MgIIb 2796.3511000 0.615500 2.625E+08
MgIIb 2803.5283000 0.305800 2.595E+08
MgIIc 2796.3473000 0.615500 2.625E+08
MgIIc 2803.5244000 0.305800 2.595E+08
end      0.0000000 0.000000 0.000E+00
