??    1215.6701000 0.416400  6.265E8  1.00 Unidentified ion!! MUST BE HERE
MgI   1747.7937000 0.009343  6.800E6 24.3050  M 91
MgI   1707.061000  0.004142  3.160E6 24.3050  M 91
MgII  2796.3540353 0.615500  2.680e8 24.3050  211.0
MgII  2803.5310923 0.305800  2.660e8 24.3050  120.0
MgII  1239.9253000 0.000640  5.802E5 24.3050  Fitzpatrick ApJL482,199 (M91 0.00027)
MgII  1240.3947000 0.000320  5.796E5 24.3050  Fitzpatrick ApJL482,199 (M91 0.00013) 19.5.99
MgX    624.9500000 0.041000  2.000E8 24.3050  VBT
MgX    609.7900000 0.084200  2.000E8 24.3050  VBT
AlI   3945.1220000 0.116934  2.000E8  
AlI   3083.0480000 0.177427  2.000E8
AlI   2367.7762000 0.105600  7.605E7  M 91 g
AlI   2264.1637000 0.089210  7.166E7  M 91 g
AlII  1670.7886136 1.740000  1.460e9 26.98154 270.0
AlIII 1862.7803252 0.115926  2.000e8 26.98154 216.0
AlIII 1862.7985808 0.162074  2.000e8 26.98154 216.0
AlIII 1854.7089658 0.233103  2.000e8 26.98154 464.0
AlIII 1854.7247036 0.325897  2.000e8 26.98154 464.0
SiI   2515.0730000 0.162000  2.000E8
SiI   1845.5200000 0.229000  2.000E8
SiI   1631.1705000 0.205100  1.714E8  M 91
SiI   1562.0020000 0.375800  3.425E8  M 91
SiII  1808.0128831 0.002080  6.749e6 28.0855  520.0
SiII  1526.7069799 0.133000  1.960E9 28.0855  50.0
SiII  1304.3702000 0.094000  1.720E9   M91 
SiII  1260.4220000 1.007000  2.533E9   M91
SiII  1193.2900000 0.499100  3.495E9   M91
SiII  1190.4160000 0.250200  3.503E9   M91  
SiII  1020.6990000 0.028280  6.680E8   M91
SiII   989.8730000 0.133000  6.673E8   M91
SiII^ 1531.1831000 0.022960  1.960E9   M 91 g
SiII^ 1307.6365000 0.147000  1.720E9   M 91 g
SiII^ 1263.3135000 1.005000  2.520E9   M 91 g
SiII^ 1194.0964000 0.748200  3.500E9   M 91 g
SiII* 1533.4310000 0.229300  1.960E9   M91  
