# Ion Label Mass   Omega         e(Omega)  X References                              lambda        e(lambda)  Ground                                   Upper                                            L    IP           f        q    dq   
MgI   2026  24.31  49346.772611  0.000036  1 ----                                    2026.4749792  0.0000015  3\rm{s}^2~^1\rm{S}_0                     3\rm{s}4\rm{p}~^1\rm{P}_1^{\rm{o}}               a_1  ---\,,~7.65   0.113     87     7
----  3230  47.87  30958.586     0.001     0 AldeniusM_06a                           3230.12169    0.00010    ----                                     3\rm{d}^24\rm{p~z}^4\rm{F}_{5/2}^{\rm{o}}        g_3  ----          0.0687    673   50
----  ----  50     30958.610542  ----      3 BerengutJ_08a                           3230.1191252  ----       ----                                     ----                                             ---- ----          5.2     ----  ----
----  ----  49     30958.599041  ----      3 BerengutJ_08a                           3230.1203251  ----       ----                                     ----                                             ---- ----          5.4     ----  ----
----  ----  48     30958.587059  ----      3 BerengutJ_08a                           3230.1215753  ----       ----                                     ----                                             ---- ----         73.7     ----  ----
----  ----  47     30958.562268  ----      3 BerengutJ_08a                           3230.1241619  ----       ----                                     ----                                             ---- ----          7.4     ----  ----
----  ----  46     30958.574948  ----      3 BerengutJ_08a                           3230.1228389  ----       ----                                     ----                                             ---- ----          8.3     ----  ----
----  3242  47.87  30836.426     0.001     0 AldeniusM_06a                           3242.91797    0.00011    ----                                     3\rm{d}^24\rm{p~z}^4\rm{F}_{3/2}^{\rm{o}}        g_4  ----          0.232     541   50
----  ----  50     30836.450997  ----      3 BerengutJ_08a                           3242.9153410  ----       ----                                     ----                                             ---- ----          5.2     ----  ----
----  ----  49     30836.439283  ----      3 BerengutJ_08a                           3242.9165729  ----       ----                                     ----                                             ---- ----          5.4     ----  ----
----  ----  48     30836.427080  ----      3 BerengutJ_08a                           3242.9178562  ----       ----                                     ----                                             ---- ----         73.7     ----  ----
----  ----  47     30836.401821  ----      3 BerengutJ_08a                           3242.9205126  ----       ----                                     ----                                             ---- ----          7.4     ----  ----
----  ----  46     30836.414740  ----      3 BerengutJ_08a                           3242.9191540  ----       ----                                     ----                                             ---- ----          8.3     ----  ----
----  3384  47.87  29544.454     0.001     0 AldeniusM_06a                           3384.73001    0.00011    ----                                     3\rm{d}^24\rm{p~z}^4\rm{G}_{5/2}^{\rm{o}}        g_5  ----          0.358     396   50
----  ----  50     29544.480532  ----      3 BerengutJ_08a                           3384.7269676  ----       ----                                     ----                                             ---- ----          5.2     ----  ----
----  ----  49     29544.468409  ----      3 BerengutJ_08a                           3384.7283564  ----       ----                                     ----                                             ---- ----          5.4     ----  ----
----  ----  48     29544.455781  ----      3 BerengutJ_08a                           3384.7298032  ----       ----                                     ----                                             ---- ----         73.7     ----  ----
----  ----  47     29544.429586  ----      3 BerengutJ_08a                           3384.7328042  ----       ----                                     ----                                             ---- ----          7.4     ----  ----
----  ----  46     29544.442984  ----      3 BerengutJ_08a                           3384.7312692  ----       ----                                     ----                                             ---- ----          8.3     ----  ----
CrII  2056  52.00  48632.058     0.002     0 AldeniusM_06a                           2056.256801   0.000085   3\rm{d}^5~^6\rm{S}_{5/2}                 3\rm{d}^44\rm{p}~^6\rm{P}_{7/2}^{\rm{o}}         h_1  6.77,~16.50   0.103   -1110  150
----  2062  52.00  48491.057     0.002     0 AldeniusM_06a                           2062.235929   0.000085   ----                                     3\rm{d}^44\rm{p}~^6\rm{P}_{5/2}^{\rm{o}}         h_2  ----          0.0759  -1280  150
----  2066  52.00  48398.871     0.002     0 AldeniusM_06a                           2066.163899   0.000085   ----                                     3\rm{d}^44\rm{p}~^6\rm{P}_{3/2}^{\rm{o}}         h_3  ----          0.0512  -1360  150
MnII  2576  54.94  38806.689     0.003     0 AldeniusM_06a                           2576.87534    0.00020    3\rm{d}^54\rm{s~a}^7\rm{S}_3             3\rm{d}^54\rm{p~z}^7\rm{P}_4^{\rm{o}}            i_1  7.44,~15.64   0.361    1276  150
----  ----  55     38806.974333  ----      3 Blackwell-WhiteheadR_05a                2576.8563955  ----       F=0.5,1.5                                F=1.5,2.5                                        ---- ----         14.3     ----  ----
----  ----  55     38806.879265  ----      3 Blackwell-WhiteheadR_05a                2576.8627082  ----       F=2.5                                    F=1.5,2.5,3.5                                    ---- ----         14.3     ----  ----
----  ----  55     38806.768508  ----      3 Blackwell-WhiteheadR_05a                2576.8700627  ----       F=3.5                                    F=2.5,3.5,4.5                                    ---- ----         19.0     ----  ----
----  ----  55     38806.625155  ----      3 Blackwell-WhiteheadR_05a                2576.8795818  ----       F=4.5                                    F=3.5,4.5,5.5                                    ---- ----         23.8     ----  ----
----  ----  55     38806.451511  ----      3 Blackwell-WhiteheadR_05a                2576.8911123  ----       F=5.5                                    F=4.5,5.5,6.5                                    ---- ----         28.6     ----  ----
----  2594  54.94  38543.121     0.003     0 AldeniusM_06a                           2594.49669    0.00020    ----                                     3\rm{d}^54\rm{p~z}^7\rm{P}_3^{\rm{o}}            i_2  ----          0.280    1030  150
----  ----  55     38543.399993  ----      3 Blackwell-WhiteheadR_05a                2594.4778464  ----       F=0.5,1.5                                F=0.5,1.5,2.5                                    ---- ----         14.2     ----  ----
----  ----  55     38543.306507  ----      3 Blackwell-WhiteheadR_05a                2594.4841392  ----       F=2.5                                    F=1.5,2.5,3.5                                    ---- ----         14.3     ----  ----
----  ----  55     38543.198206  ----      3 Blackwell-WhiteheadR_05a                2594.4914294  ----       F=3.5                                    F=2.5,3.5,4.5                                    ---- ----         19.1     ----  ----
----  ----  55     38543.058612  ----      3 Blackwell-WhiteheadR_05a                2594.5008260  ----       F=4.5                                    F=3.5,4.5,5.5                                    ---- ----         23.8     ----  ----
----  ----  55     38542.888064  ----      3 Blackwell-WhiteheadR_05a                2594.5123064  ----       F=5.5                                    F=4.5,5.5                                        ---- ----         28.6     ----  ----
----  2606  54.94  38366.230     0.003     0 AldeniusM_06a                           2606.45886    0.00020    ----                                     3\rm{d}^54\rm{p~z}^7\rm{P}_2^{\rm{o}}            i_3  ----          0.198     869  150
----  ----  55     38366.573964  ----      3 Blackwell-WhiteheadR_05a                2606.4354898  ----       F=0.5,1.5                                F=0.5,1.5,2.5                                    ---- ----         14.3     ----  ----
----  ----  55     38366.459582  ----      3 Blackwell-WhiteheadR_05a                2606.4432603  ----       F=2.5                                    F=1.5,2.5,3.5                                    ---- ----         14.3     ----  ----
----  ----  55     38366.325813  ----      3 Blackwell-WhiteheadR_05a                2606.4523480  ----       F=3.5                                    F=2.5,3.5,4.5                                    ---- ----         19.1     ----  ----
----  ----  55     38366.153395  ----      3 Blackwell-WhiteheadR_05a                2606.4640614  ----       F=4.5                                    F=3.5,4.5                                        ---- ----         23.8     ----  ----
----  ----  55     38365.943000  ----      3 Blackwell-WhiteheadR_05a                2606.4783550  ----       F=5.5                                    F=4.5                                            ---- ----         28.6     ----  ----
FeII  1608  55.85  62171.629     0.003     0 S.~Johansson~(priv.~comm.)              1608.450697   0.000078   3\rm{d}^64\rm{s~aa}^6\rm{D}_{9/2}        3\rm{d}^54\rm{s}4\rm{p~y}^6\rm{P}_{7/2}^{\rm{o}} j_1  7.87,~16.18   0.0577  -1030  300
----  ----  58     62171.673196  ----      3 PorsevS_09a                             1608.4495536  ----       ----                                     ----                                             ---- ----          0.3     ----  ----
----  ----  57     62171.652492  ----      3 PorsevS_09a                             1608.4500892  ----       ----                                     ----                                             ---- ----          2.1     ----  ----
